what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1387331445257
error,log,,,"Core exception while retrieving the content description",1387331445260
error,log,,,"Core exception while retrieving the content description",1387331445262
error,log,,,"Core exception while retrieving the content description",1387331445264
error,log,,,"Core exception while retrieving the content description",1387331445266
error,log,,,"Core exception while retrieving the content description",1387331445268
error,log,,,"Core exception while retrieving the content description",1387331445270
error,log,,,"Core exception while retrieving the content description",1387331445273
error,log,,,"Core exception while retrieving the content description",1387331445275
error,log,,,"Core exception while retrieving the content description",1387331445277
error,log,,,"Core exception while retrieving the content description",1387331445279
error,log,,,"Core exception while retrieving the content description",1387331445281
error,log,,,"Core exception while retrieving the content description",1387331445283
error,log,,,"Core exception while retrieving the content description",1387331445286
error,log,,,"Core exception while retrieving the content description",1387331445288
error,log,,,"Core exception while retrieving the content description",1387331445290
error,log,,,"Core exception while retrieving the content description",1387331445292
error,log,,,"Core exception while retrieving the content description",1387331445294
error,log,,,"Core exception while retrieving the content description",1387331445296
error,log,,,"Core exception while retrieving the content description",1387331445299
error,log,,,"Core exception while retrieving the content description",1387331445301
error,log,,,"Core exception while retrieving the content description",1387331445303
error,log,,,"Core exception while retrieving the content description",1387331445305
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387331457769
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387331461237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387331461278
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1387331467209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387331471334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387331475589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387331480785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387331482865
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1387331499018
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1387331502284
